scenario,max_abs_mean_shift_in_SD,p95_abs_mean_shift_in_SD,max_abs_std_ratio_dev,p95_abs_std_ratio_dev
fold0_train(38pat),0.03481653537684864,0.029680668347594013,0.04906988528978806,0.035986677454567205
fold1_train(38pat),0.1280632924777013,0.0657765929457483,0.12306726035354609,0.0716697717358748
fold2_train(38pat),0.0989543711196454,0.07442761860194327,0.05026737712225948,0.041473332178621834
fold3_train(39pat),0.06161357715605283,0.049278064023491844,0.10193290129954624,0.07803613909854196
fold4_train(39pat),0.06173917168886461,0.05814910563982963,0.05255498590444807,0.04164379872268373
only_STA,0.6100405451114692,0.4213218683122749,0.301606988437757,0.16454177890557964
only_UOP,0.532652963015331,0.3657675373847839,0.4025305421966019,0.3102567376024473
