setting,n_cells,n_patients,ARI,AMI,NMI,purity_weighted,purity_balanced,ARI_boot_lo,ARI_boot_hi,AMI_boot_lo,AMI_boot_hi,NMI_boot_lo,NMI_boot_hi,purity_weighted_boot_lo,purity_weighted_boot_hi,purity_balanced_boot_lo,purity_balanced_boot_hi,bootstrap
UOP_discovery,273408,24,0.13638369524616814,0.2844131073979151,0.28448493613972364,0.5426651743913857,0.5522091620790219,0.12108685637653435,0.1801982174138189,0.2674093456836686,0.3116679752084648,0.26748017713306416,0.3117392490766399,0.514250743907349,0.5870602062465327,0.5278803413448301,0.5747181626402377,"patient-level, B=500"
STA_validation,224830,24,0.3558401862813014,0.358427637185049,0.3585158515297539,0.6162923097451408,0.541070072658046,0.29484509863320024,0.4253646129828405,0.3419784348388184,0.38460938247360754,0.3420668469453546,0.3846948373084743,0.5807385650790408,0.6544038123607153,0.5179920823251016,0.573883162871956,"patient-level, B=500"
pooled_exploratory,498238,48,0.20453417879531843,0.2932039014464865,0.2932435825204896,0.565362336875148,0.5367397649860539,0.1628984916250877,0.2579755911323485,0.2785392517334952,0.3159683690280398,0.2785784921367669,0.316008624803282,0.5448989782414103,0.5993294511210632,0.5248881458328897,0.558066966257326,"patient-level, B=500"
