outcome,n,n_events,exposure,OR_per_1SD,ci95_lo,ci95_hi,p,interpretation
Recurrence within 3yrs (binary),23,9,candidate-cluster cell fraction (per 1 SD),0.5415365837364132,0.19503567767017113,1.5036319253385346,0.23913769198075596,exploratory; estimate imprecise/inconclusive
Recurrence within 3yrs (binary),23,9,vessel-cell fraction in candidate clusters (per 1 SD),0.6540852217724199,0.2435385277481705,1.7567137376451092,0.3996889033835407,exploratory; estimate imprecise/inconclusive
