cluster,vessel_pct_uop,vessel_pct_pass,cd31_mean_uop,cd31_rank,cd31_pass,patient_coverage_uop,coverage_pass,ki67_mean_uop_not_used,candidate
0,0.4354645262478088,False,0.8605610456050602,2,True,0.8333333333333334,False,0.1194223434261314,False
1,0.010752688172043,False,0.2598355861900274,11,False,1.0,True,0.1557276934146492,False
2,0.8328331332533013,True,1.238896780894899,1,True,0.875,False,0.0969697586807141,False
3,0.2887250469499895,False,0.1747781375800861,17,False,1.0,True,0.03112773459762,False
4,0.1068989875206027,False,0.0627469428163796,20,False,0.9583333333333334,True,0.0143864659810602,False
5,0.1535195836757052,False,0.5036488331221741,4,True,0.625,False,0.1998437544411896,False
6,0.2363124680197851,False,0.2006084887609828,15,False,0.9166666666666666,True,0.0217309551516697,False
7,0.0313958630177369,False,0.2227660904109988,14,False,1.0,True,0.0521481132117578,False
8,0.1845408226668323,False,0.2245063319508926,13,False,1.0,True,0.0517231533044282,False
9,0.0682889146388567,False,0.4403806024844223,5,True,0.9583333333333334,True,0.0807348013055779,False
10,0.0014604509872648,False,0.3542531577439309,8,False,0.9583333333333334,True,0.318687763348695,False
11,0.1967432522864153,False,0.4206848466860292,6,False,1.0,True,0.0514930497124298,False
12,0.8829183737787583,True,0.7531904224142759,3,True,1.0,True,0.0420149686455917,True
13,0.202685056720803,False,0.3200503189243183,9,False,1.0,True,0.0429203881697833,False
14,0.1105245793467502,False,0.2337239084895093,12,False,1.0,True,0.1950933835479834,False
15,0.085058241850331,False,0.1598914089246064,18,False,0.9583333333333334,True,0.0342366045966816,False
16,0.0557960272754224,False,0.1073424266327915,19,False,1.0,True,0.0236763149766512,False
17,0.0474765609415519,False,0.4144750641532,7,False,0.7083333333333334,False,0.1390874671244708,False
18,0.1036472760849492,False,0.3147213877332984,10,False,1.0,True,0.0966822884294723,False
19,0.0150275256658235,False,0.1941157756992249,16,False,1.0,True,0.0850274937842889,False
