model,term,coef,ci_lo,ci_hi,p,n_cells,n_groups
random_patient,is_candidate_cluster[T.True],-0.01707977587265748,-0.01930774919353864,-0.01485180255177632,5.020928601852534e-51,92143,48
random_patient,cohort[T.UOP],-0.024237315718669127,-0.04101449526677372,-0.007460136170564534,0.004633297961016406,92143,48
random_patientROI,is_candidate_cluster[T.True],-0.009234179323059605,-0.011491953398313829,-0.006976405247805383,1.0910996859616875e-15,92143,142
random_patientROI,cohort[T.UOP],-0.027542333837265478,-0.04159509573575659,-0.013489571938774361,0.00012234511551014108,92143,142
