cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note
UOP,12,CD4 T cells,53,12692,31219,1449.2317269428838,0.03657110109768443,-4.773152125188572,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,CD4 T cells,4996,24506,31219,2798.2093208684455,1.7854275456596125,0.8362695891810535,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,CD4 T cells,1119,6062,31219,692.187419534176,1.616614183414454,0.6929754103579315,2.3823033391800706e-59,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,CD4 T cells,44,11933,31219,1362.5655686739233,0.03229202396683317,-4.95267832220766,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,CD4 T cells,3455,16865,31219,1925.7243204295412,1.794130116832791,0.8432845235359984,1.512770849399359e-270,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,CD4 T cells,4113,15039,31219,1717.2231280723315,2.3951459380919515,1.2601135631627483,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,CD4 T cells,1137,4332,31219,494.6479547050562,2.298604470482364,1.2007582374497872,1.7191153741969694e-162,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,CD4 T cells,13,13442,31219,1534.870223256086,0.0084697714523523,-6.883461244149068,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,CD8 T cells,990,10839,22976,910.8616573033707,1.0868829443660197,0.12019657267787509,0.0029889198767391917,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,CD8 T cells,729,13671,22976,1148.8504213483145,0.6345473583449015,-0.656200253752956,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,CD8 T cells,317,9996,22976,840.0196629213483,0.3773721187639401,-1.405940258082794,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,CD8 T cells,163,14377,22976,1208.179541198502,0.13491372303681423,-2.8898909923371505,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,CD8 T cells,84,16988,22976,1427.5964419475656,0.058840157856799455,-4.087055072704139,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,CD8 T cells,376,7302,22976,613.6278089887641,0.6127492830216318,-0.7066312038927446,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,CD8 T cells,195,23452,22976,1970.802434456929,0.09894446880655182,-3.33723712978236,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,CD8 T cells,7350,20353,22976,1710.376170411985,4.297300282328873,2.1034305917942984,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
