case,lens,n_tokens,fp32_max_abs,fp32_rel_l2,fp32_q99,fp32_pass,fp16_max_abs,fp16_rel_l2,fp16_q99,fp16_pass,backend_math_vs_default_max_abs
A_len1,[1],1,1.487283832202202e-07,1.652822922732217e-07,1.475867190681157e-07,True,0.0003145481012100104,0.0004145991252922916,0.0002925233804662586,True,1.1920928955078125e-07
B_diff_lens,"[1, 5, 9, 13]",28,1.7402717733538964e-07,1.9714861736890384e-07,9.377007013228189e-08,True,0.0003145481012098994,0.0004667806932417451,0.0002169192343556836,True,1.341104507446289e-07
C_padding_stress,"[2, 30, 3]",35,1.6446555461957502e-07,1.9762299465124417e-07,7.860125292302733e-08,True,0.00037254492348937074,0.0004742377974475865,0.0002023300194595734,True,1.4901161193847656e-07
E_len0_inside,"[5, 0, 7]",12,9.996812261325871e-08,1.5864772648518396e-07,6.39918745770629e-08,True,0.0002412285647593604,0.0004270824068228806,0.00018107870630434952,True,1.1920928955078125e-07
F_total0,[0],0,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0
D_reorder,"[1, 5, 9, 13]->[9, 13, 1, 5]",28,0.0,0.0,0.0,True,,,,,
