umap1,umap2,cluster,label
3.3258326,2.8665931,17,CD8 T cells
2.620382,2.6516306,17,CD8 T cells
-0.88590556,3.8541377,5,Myeloid
3.4115412,6.353512,16,other
5.2090592,9.938121,18,Vessel
7.329876,4.6356373,17,CD8 T cells
8.143865,8.934495,11,Tumor
4.1380944,8.02628,6,other
-0.88028413,7.3107777,2,Vessel
2.1741288,9.975128,3,Vessel
1.7655354,1.6513634,17,CD4 T cells
3.7691693,5.1929464,7,other
3.7749817,10.271204,4,Fibroblasts
3.1545594,9.549987,6,Fibroblasts
1.2697527,7.50342,11,Vessel
1.6226156,4.751611,0,CD4 T cells
1.9748287,9.883807,3,Tumor
3.1158283,1.9285343,17,CD8 T cells
10.194807,6.5327306,10,Tumor
10.042133,7.5947604,10,Tumor
6.5241604,6.110502,9,Tumor
3.0811975,8.900617,6,Fibroblasts
1.9369187,9.012256,6,Myeloid
9.110793,7.603944,11,Tumor
2.3125043,4.933797,7,Myeloid
1.2958956,5.6050344,13,Vessel
1.8504462,5.5441613,18,B cells
1.154864,4.262287,0,Vessel
8.239691,8.39332,19,Tumor
1.5753776,2.2965193,0,B cells
2.9119291,9.28405,4,Fibroblasts
-0.5530354,5.6079407,2,Vessel
3.7000928,10.852093,4,other
6.084053,9.713067,15,Tumor
2.9651582,7.140763,13,Tumor
1.6757128,4.779323,13,Myeloid
1.6224394,2.7927978,17,CD8 T cells
4.229089,6.5492034,16,Fibroblasts
1.2871249,6.213045,13,Tumor
2.7359283,8.912511,4,other
5.3571467,10.730814,8,other
-0.59156275,5.2848334,14,CD4 T cells
1.9409674,10.302528,3,Tumor
5.389254,8.668206,15,Tumor
-0.4464412,6.758506,2,Vessel
3.5647442,8.4903145,6,Tumor
7.7780113,8.868437,11,Tumor
8.538316,4.7753477,10,Tumor
0.87933064,4.0521855,0,Vessel
0.12850133,5.7211885,14,CD4 T cells
9.195665,5.722917,1,Tumor
3.811474,5.1695495,7,CD8 T cells
2.8435953,3.1990514,17,CD8 T cells
5.8003783,8.649794,15,Tumor
3.7816565,8.537295,6,Fibroblasts
3.5410013,4.4081364,7,CD4 T cells
-0.47950372,8.268858,12,Vessel
-0.9373412,7.668199,12,Vessel
2.0829792,9.908624,3,Tumor
3.3726165,4.355402,7,CD4 T cells
0.2879667,5.200163,2,Vessel
2.997817,9.792272,6,Myeloid
-1.0495855,5.1255426,5,Myeloid
0.8064868,5.146421,0,Vessel
-2.1148157,7.3397465,2,Vessel
4.7933106,10.061368,8,CD8 T cells
3.3969092,4.4299517,7,CD8 T cells
1.9726357,2.1231074,17,B cells
8.016198,8.293755,19,Tumor
-0.93781936,6.8092775,2,Vessel
7.1612015,4.9726014,11,CD8 T cells
0.003515762,3.647432,7,CD8 T cells
1.2419701,6.148881,14,CD4 T cells
0.090182774,6.5907974,14,Myeloid
-0.7074356,6.1793265,2,Vessel
2.7989404,10.8787365,4,Fibroblasts
2.4925265,8.008806,3,Fibroblasts
1.703584,6.4188304,13,Tumor
2.785886,7.2039695,13,Vessel
2.9837627,9.775416,6,other
8.324735,8.905004,19,Tumor
4.1874375,9.801836,8,Fibroblasts
4.379499,5.03498,18,CD8 T cells
9.185993,5.420012,10,Tumor
0.6298398,7.5315948,3,Fibroblasts
3.2401536,10.621582,4,Vessel
0.328145,4.1416306,9,Vessel
2.8971083,10.092576,4,Fibroblasts
4.9582295,10.678879,8,Fibroblasts
3.0995603,4.39901,7,CD4 T cells
7.7971673,8.262765,11,Tumor
-0.45365298,8.894489,12,Fibroblasts
6.522854,7.3211517,1,Tumor
3.8944266,5.9782495,16,CD4 T cells
4.8514304,9.772887,8,B cells
8.296764,6.6672416,1,Tumor
5.8816733,6.6253586,16,CD8 T cells
3.7687764,8.41655,6,other
-0.99498725,8.366367,12,Vessel
3.0429044,2.063649,17,CD8 T cells
6.0201745,8.497764,15,Tumor
1.1215148,2.738834,9,Tumor
0.27765384,9.161474,3,Vessel
3.2060122,10.283319,4,Fibroblasts
-1.004523,7.7748995,2,Vessel
-0.03349488,7.506112,12,Vessel
1.793063,1.777277,17,Myeloid
2.6844153,9.436846,4,other
7.303092,7.9802575,19,Tumor
1.6717584,7.7057853,6,Vessel
8.48699,8.62103,11,Tumor
6.4005218,9.594102,15,Tumor
3.8760133,3.7169173,7,CD8 T cells
0.048475485,3.848816,9,Myeloid
0.18013005,9.124424,15,Vessel
7.419558,5.021589,17,Tumor
6.993282,5.6324573,9,Tumor
7.5158095,5.80645,1,Tumor
3.6202831,8.762771,6,other
-1.099394,3.9050355,5,Myeloid
3.3830578,10.616502,4,Vessel
2.7402225,6.531578,13,CD4 T cells
1.28483,3.5820868,0,Vessel
-0.5970763,7.676336,12,Vessel
2.987327,2.967334,17,CD4 T cells
4.0127845,8.987072,6,Tumor
10.097589,6.2537947,10,Tumor
1.5437409,7.009548,13,Vessel
3.5558133,5.6711693,7,CD8 T cells
5.620696,9.554537,15,other
4.0298147,7.449651,13,other
1.3540616,4.9127665,9,CD4 T cells
-0.8684553,3.60388,5,Myeloid
7.7952304,8.510169,11,Tumor
2.9797533,9.012604,4,Fibroblasts
9.9718685,6.5599666,10,Tumor
0.34176335,8.705672,6,Vessel
-1.1865728,8.773401,12,Vessel
5.8758073,6.224278,13,Tumor
1.2096753,2.3003716,9,Tumor
4.008104,9.228053,4,other
3.103987,3.9597602,7,CD8 T cells
4.9249496,11.041756,8,Fibroblasts
3.1101308,9.718838,4,Vessel
0.57768404,6.8873644,13,Tumor
9.835757,5.2249336,10,Tumor
6.689199,10.048413,8,Tumor
3.200287,1.4136533,17,CD4 T cells
2.4452124,9.897107,4,Fibroblasts
1.1122673,5.6800413,13,Myeloid
1.1392721,3.6772132,9,Fibroblasts
0.94748044,6.132742,13,Myeloid
3.558694,3.788026,7,CD8 T cells
-1.3950559,7.9077053,12,Vessel
1.6077089,7.3673277,3,Fibroblasts
2.9000382,4.274101,7,CD4 T cells
1.6801584,6.432737,13,Vessel
3.1273365,8.91474,16,Myeloid
1.332533,7.1390505,11,Vessel
2.2483647,8.869821,3,Vessel
7.2828126,9.177608,11,Tumor
4.2036033,4.248918,7,CD8 T cells
1.6275499,2.9371672,9,CD4 T cells
2.5324886,2.7514205,17,CD4 T cells
3.3145647,8.780611,16,other
8.2516775,8.383119,11,Tumor
3.7620072,8.509063,6,Vessel
2.6870048,10.768788,4,Fibroblasts
4.261271,4.6923733,7,CD8 T cells
7.1354184,8.252384,19,Tumor
2.1203887,10.872832,4,other
3.1727748,8.564633,8,Fibroblasts
9.480593,5.844614,10,Tumor
6.7236867,7.988851,1,Tumor
-1.2865744,6.0989504,2,Vessel
2.5894926,7.4973435,6,Myeloid
0.5823549,6.1613965,0,Vessel
10.151589,6.192107,10,Tumor
3.5168886,10.363553,4,Fibroblasts
3.9638858,8.772387,6,other
1.9546114,7.9087296,3,Tumor
5.9097624,11.223803,8,Tumor
4.1700196,4.4131265,7,Fibroblasts
4.4209385,7.504964,16,other
1.2196066,2.4604208,17,Tumor
1.996482,10.002076,3,Fibroblasts
6.3113575,8.290022,19,Tumor
1.8971518,6.094105,13,Vessel
7.905911,4.8178663,10,Tumor
9.38538,6.27926,10,Tumor
2.1740518,4.655513,0,CD8 T cells
2.8394635,9.447614,4,Fibroblasts
4.2941217,10.050485,8,Fibroblasts
8.243292,8.24045,19,Tumor
2.1525064,5.5091047,13,CD8 T cells
3.0887582,4.579204,7,B cells
9.843626,5.9228997,10,Tumor
