cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand
UOP,12,CD4 T cells,53,12692,31219,1449.2317269428838,0.0365711010976844,-4.773152125188572,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,CD4 T cells,4996,24506,31219,2798.209320868445,1.7854275456596125,0.8362695891810535,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,CD4 T cells,1119,6062,31219,692.187419534176,1.616614183414454,0.6929754103579315,2.3823033391800706e-59,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,15,CD4 T cells,44,11933,31219,1362.5655686739233,0.0322920239668331,-4.95267832220766,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,16,CD4 T cells,3455,16865,31219,1925.7243204295407,1.794130116832791,0.8432845235359984,1.512770849399359e-270,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,17,CD4 T cells,4113,15039,31219,1717.2231280723315,2.3951459380919515,1.2601135631627485,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,18,CD4 T cells,1137,4332,31219,494.6479547050562,2.298604470482364,1.2007582374497872,1.7191153741969694e-162,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,19,CD4 T cells,13,13442,31219,1534.870223256086,0.0084697714523523,-6.883461244149068,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,0,CD8 T cells,990,10839,22976,910.8616573033707,1.0868829443660195,0.120196572677875,0.0029889198767391,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,1,CD8 T cells,729,13671,22976,1148.8504213483145,0.6345473583449015,-0.656200253752956,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,2,CD8 T cells,317,9996,22976,840.0196629213483,0.3773721187639401,-1.405940258082794,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,3,CD8 T cells,163,14377,22976,1208.179541198502,0.1349137230368142,-2.8898909923371505,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
